"","time","used","buff","cach","read","writ","qntReads","qntCPU","tamArq","cpu.usage"
"30",84,1143846406.02353,33641170.8235294,169911862.211765,115.988094117647,399076.150270588,-0.630877192982456,-0.428095238095238,5.2,0.184087452896069
"31",83,1159464228.57143,34032298.6666667,170041197.714286,113.691595238095,402368.761940476,-0.630877192982456,-0.428095238095238,5.2,0.179609068517182
"32",85,1178938153.67442,34439644.2790698,170198658.976744,107.658965116279,485460.836965116,-0.630877192982456,-0.428095238095238,5.2,0.166105189223427
"33",85,1118659750.69767,34877868.6511628,170501858.232558,104.461186046512,391321.051,-0.630877192982456,-0.428095238095238,5.2,0.177199826653484
"34",85,1180099893.5814,35268369.8604651,170536912.372093,101.465546511628,398373.465232558,-0.630877192982456,-0.428095238095238,5.2,0.166790604114899
"35",87,1143734601.56322,35685340.6896552,170698445.977012,97.5101264367816,387865.74483908,-0.630877192982456,-0.428095238095238,5.2,0.162247582901494
"36",86,1191945416.09195,36027568.5517241,170888556.873563,94.8445632183908,391304.439505747,-0.630877192982456,-0.428095238095238,5.2,0.168648126563421
"37",85,1118087168,36366002.6046512,171019859.348837,93.3798953488372,395760.564883721,-0.630877192982456,-0.428095238095238,5.2,0.177086279005798
"38",85,1178305131.16279,36692920.5581395,171143787.162791,90.9495348837209,484969.292860465,-0.630877192982456,-0.428095238095238,5.2,0.177192256810302
"39",85,1179905857.48837,36982117.2093023,171300054.325581,88.6669651162791,392871.144360465,-0.630877192982456,-0.428095238095238,5.2,0.181562120827224
"40",85,1166091573.5814,37288364.6511628,171462417.860465,86.4839186046512,392824.993244186,-0.630877192982456,-0.428095238095238,5.2,0.18171971119886
"41",86,1145865745.65517,37571242.6666667,171623435.770115,83.4350459770115,390853.468091954,-0.630877192982456,-0.428095238095238,5.2,0.155203515559672
"42",84,1138812566.58824,37896143.8117647,171764073.411765,83.3951529411765,399714.042317647,-0.630877192982456,-0.428095238095238,5.2,0.184243415953826
"43",87,1139939188.36364,38178816,171998533.818182,78.713875,388183.634590909,-0.630877192982456,-0.428095238095238,5.2,0.166868773693846
"44",84,1117169302.58824,38446453.4588235,172004870.023529,79.6640235294118,395572.949023529,-0.630877192982456,-0.428095238095238,5.2,0.164855954600588
"45",234,906380414.365957,38762679.012766,174896934.12766,28.1832978723404,189547.932821277,-0.630877192982456,-0.428095238095238,5.2,0.182711132242236
"46",105,1265874480.30189,39162667.4716981,172221343.396226,60.0560754716981,326468.012037736,-0.630877192982456,-0.428095238095238,5.2,-0.0876092714106949
"47",92,1316725440.68817,39491033.4623656,171907402.322581,66.7254516129032,366980.59416129,-0.630877192982456,-0.428095238095238,5.2,0.0676653575997012
"48",90,1126201141.45055,39886893.010989,172904853.098901,66.3493956043956,456495.373901099,-0.630877192982456,-0.428095238095238,5.2,0.111336088236163
"49",106,1126908057.1215,40196306.5420561,173199972.485981,55.0803271028037,321852.743224299,-0.630877192982456,-0.428095238095238,5.2,0.180012586148301
"50",107,1103732091.25926,40580854.5185185,173433818.074074,53.2701666666667,322355.482074074,-0.630877192982456,-0.428095238095238,5.2,0.147486484501147
"51",106,1138407404.85981,40795279.5514019,173594566.579439,52.5110654205607,369537.266869159,-0.630877192982456,-0.428095238095238,5.2,0.166386251004876
"52",108,1105720085.13761,41097460.2568807,173859191.779817,50.3858990825688,315550.616513761,-0.630877192982456,-0.428095238095238,5.2,0.185045486128449
"53",105,1159879428.83019,41367938.4150943,173904181.132075,50.6688773584906,325128.028886792,-0.630877192982456,-0.428095238095238,5.2,0.176545275427936
"54",107,1175099088.59259,41583160.8888889,173837046.518519,48.6615740740741,318532.733564815,-0.630877192982456,-0.428095238095238,5.2,0.190608542204418
"55",106,1172425909.83178,41835319.0280374,174023306.766355,48.073476635514,364876.326981308,-0.630877192982456,-0.428095238095238,5.2,0.118956250549481
"56",108,1118510991.26606,42092412.4770642,174586776.66055,46.2085504587156,316199.450238532,-0.630877192982456,-0.428095238095238,5.2,0.112697975795395
"57",106,1139703808,42334112.2990654,174644214.429907,46.107046728972,322640.869420561,-0.630877192982456,-0.428095238095238,5.2,0.159458037252375
"58",106,1139969282.39252,42543544.2242991,174805030.280374,45.1855794392523,404245.993663551,-0.630877192982456,-0.428095238095238,5.2,0.170592073883206
"59",107,1181148577.18519,42738574.2222222,174851527.111111,43.8918703703704,318767.390555556,-0.630877192982456,-0.428095238095238,5.2,0.167336703306661
"60",105,1093324838.64151,42953322.2641509,175134990.490566,43.8609150943396,324081.053264151,-0.630877192982456,-0.428095238095238,5.2,0.177252114403878
"61",108,1191479427.52294,43158875.5963303,175174308.40367,41.8454036697248,315641.941642202,-0.630877192982456,-0.428095238095238,5.2,0.0993330672657612
"62",85,1108534962.60465,43346110.5116279,175281604.465116,52.1150813953488,393718.075127907,-0.630877192982456,-0.428095238095238,5.2,0.175736782417264
