"","time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","read.1","writ.1","recv","send","int","csw","X1m","X5m","X15m","run","blk","new","programa","qntReads","qntCPU","tamArq"
"390",44,81.9557111111111,12.2299777777778,5.75164444444444,0.0458666666666667,0,0.0168444444444444,1407413270.75556,57956579.5555556,1049986389.33333,5856245168.35556,908.911555555556,674207.018511111,0.0156888888888889,6.74082222222222,630.044444444444,66.8888888888889,1155.7214,1955.03751111111,5.30822222222222,4.952,4.95755555555556,4.24444444444444,0.0222222222222222,177.237933333333,"Trinity",50000,4,5.2
"391",43,82.0185,12.5792727272727,5.35525,0.0354772727272727,0,0.0115681818181818,1453788997.81818,58041157.8181818,1050041157.81818,5809730094.54545,920.711568181818,675211.24925,0.0158863636363636,6.89425,747.477272727273,94.8636363636364,1150.63368181818,1984.77377272727,5.23977272727273,5.11727272727273,5.02477272727273,4.34090909090909,0.0454545454545455,179.589954545455,"Trinity",50000,4,5.2
"392",44,82.0231777777778,12.4276444444444,5.50297777777778,0.0403111111111111,0,0.00577777777777778,1434028805.68889,58193783.4666667,1050230692.97778,5829148125.86667,891.811622222222,664865.321066667,0.0154,6.54124444444444,749.888888888889,85.7555555555556,1132.00808888889,1963.74675555556,5.26777777777778,5.32666666666667,5.14,3.91111111111111,0,176.693777777778,"Trinity",50000,4,5.2
"393",43,82.3316136363636,12.2058181818182,5.32981818181818,0.121204545454545,0,0.0116136363636364,1454967156.36364,58319127.2727273,1050235066.18182,5808080058.18182,903.550454545455,750554.909795455,0.0155909090909091,7.91738636363636,748.977272727273,98.5909090909091,1159.356,1955.01965909091,5.02659090909091,5.11159090909091,5.08204545454545,4.40909090909091,0.0227272727272727,178.646909090909,"Trinity",50000,4,5.2
"394",45,81.1322826086956,13.0276304347826,5.79510869565217,0.0395,0,0.0056304347826087,1404382252.52174,58398363.826087,1050592478.6087,5858228313.04348,856.259173913043,659082.327695652,0.0147826086956522,6.66032608695652,602.130434782609,63.5869565217391,1142.02215217391,1941.5432826087,4.7245652173913,4.96934782608696,5.03391304347826,4.41304347826087,0,175.384934782609,"Trinity",50000,4,5.2
"395",45,81.3614130434783,12.4808260869565,6.07480434782609,0.0558260869565217,0,0.0272608695652174,1348955447.65217,58504325.5652174,1050636020.86957,5913505613.91304,848.23952173913,723741.239652174,0.0146521739130435,7.96486956521739,718.108695652174,94.4782608695652,1145.78886956522,1926.99580434783,5.20565217391304,5.05652173913043,5.04739130434783,4.02173913043478,0,173.737260869565,"Trinity",50000,4,5.2
"396",44,81.4834888888889,12.5310222222222,5.93933333333333,0.0403777777777778,0,0.00575555555555556,1421403295.28889,58631145.2444444,1050472630.04444,5841094337.42222,859.006755555556,673302.202444444,0.0148222222222222,6.98651111111111,717.533333333333,102.755555555556,1131.14162222222,1883.60917777778,5.28333333333333,5.04666666666667,5.02666666666667,4.26666666666667,0,173.602333333333,"Trinity",50000,4,5.2
"397",45,81.0752608695652,12.816,6.03608695652174,0.0562826086956522,0,0.0165,1455959529.73913,58710461.2173913,1050815532.52174,5806115884.52174,832.605260869565,719850.39273913,0.0143695652173913,7.70436956521739,715,99.195652173913,1135.09856521739,1907.56704347826,5.33978260869565,5.21673913043478,5.10130434782609,4.41304347826087,0,173.919586956522,"Trinity",50000,4,5.2
"398",44,81.6132444444444,12.5274666666667,5.82433333333333,0.0347777777777778,0,2e-04,1371659104.71111,58776143.6444444,1050822610.48889,5890343549.15556,843.233066666667,660766.831177778,0.0145555555555556,6.20913333333333,619.466666666667,54.1777777777778,1119.2364,1925.94411111111,5.03933333333333,5.10022222222222,5.07622222222222,4.62222222222222,0,174.788244444444,"Trinity",50000,4,5.2
"399",44,81.6684888888889,12.3985777777778,5.88684444444444,0.0348,0,0.0112888888888889,1398950843.73333,58884915.2,1050895974.4,5862869674.66667,835.604755555556,676437.114022222,0.0144222222222222,6.676,627.933333333333,66.8888888888889,1151.7944,1934.13455555556,5.68666666666667,5.21244444444444,5.10377777777778,4.33333333333333,0,175.0368,"Trinity",50000,4,5.2
"400",45,81.5431739130435,12.3805652173913,6.03136956521739,0.0393913043478261,0,0.0056304347826087,1377292911.30435,58963878.9565217,1051124869.56522,5884219748.17391,810.115608695652,725232.119369565,0.0139782608695652,8.2484347826087,701.913043478261,87.695652173913,1129.19530434783,1869.49176086957,4.48,4.89565217391304,4.99978260869565,4.15217391304348,0,171.779086956522,"Trinity",50000,4,5.2
"401",78,81.8011392405063,12.9984050632911,5.15667088607595,0.0373924050632911,0,0.00635443037974684,1110176936.50633,36329653.4683544,1055991730.22785,6169103087.79747,3479.12262025316,663421.081620253,0.0600379746835443,6.58115189873418,495.316455696203,154.151898734177,1115.44993670886,2073.65906329114,2.45164556962025,1.29253164556962,0.792911392405063,4.84810126582278,0.0126582278481013,189.042443037975,"Trinity",80000,4,8.3
"402",77,81.691858974359,13.0931794871795,5.11607692307692,0.0957051282051282,0,0.00324358974358974,1106729380.10256,36783340.3076923,1056196345.4359,6171892342.15385,3308.97846153846,670576.893961538,0.0571153846153846,6.88702564102564,486.884615384615,77.8589743589744,1123.9176025641,2077.78903846154,5.11782051282051,3.46307692307692,1.79705128205128,4.73076923076923,0.0128205128205128,191.403435897436,"Trinity",80000,4,8.3
"403",77,81.8342435897436,13.0229871794872,5.09539743589744,0.0377179487179487,0,0.00971794871794872,1098097270.15385,37220772.1025641,1056304994.46154,6179978371.28205,3119.50525641026,670499.058115385,0.0538461538461538,6.3390641025641,459.871794871795,106.858974358974,1133.66576923077,2086.46792307692,5.08,4.29128205128205,2.49653846153846,4.93589743589744,0.0128205128205128,190.798615384615,"Trinity",80000,4,8.3
"404",77,81.7652435897436,13.0747179487179,5.10632051282051,0.0473076923076923,0,0.00644871794871795,1081375087.58974,37662457.4358974,1056382293.33333,6196181569.64103,2950.39052564103,671157.894435897,0.0509358974358974,6.61108974358974,423.128205128205,58.1153846153846,1139.38770512821,2101.56216666667,5.12076923076923,4.70282051282051,3.05435897435897,4.67948717948718,0.128205128205128,191.385384615385,"Trinity",80000,4,8.3
